Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Arron,Afflalo",Ind,25,44,12.7,35,3.9,1.4,7,0.45
"Andrea,Bargnani",Tor,27,49,16.4,47,3.9,5.7,5.8,0.45
"Andris,Biedrins",Den,31,64,27.3,176,14.2,6.1,7.3,0.91
"Andray,Blatche",Atl,25,11,31.5,30,12.4,7,7.4,0.91
"Andrew,Bogut",Uta,27,61,33.8,177,19.2,9.6,8.8,0.77
"Aaron,Brooks",Tor,29,17,26.9,34,9.6,2,4.6,0.29
"Andrew,Bynum",Uta,20,59,15.7,143,7.2,2.2,6.2,0.46
"Anthony,Carter",Nor,21,66,22.2,114,6,4.7,5.5,0.89
"Austin,Daye",Cle,24,63,28.8,210,10.5,5.1,6.4,1.32
"Alonzo,Gee",Nyk,29,47,32.6,243,17.5,7.8,6.5,0.81
"Aaron,Gray",Cle,29,25,31.1,64,10.8,11.5,7.8,1.4
"Al,Harrington",Was,25,26,23.9,49,8.5,5.7,6.3,0.77
"Al,Horford",Phi,28,62,35.4,192,12.4,6.1,8.4,1.71
"Andre,Iguodala",Den,35,66,27.2,169,9.7,3.3,8.8,0.95
"Allen,Iverson",Tor,26,31,33.1,173,19.5,5.5,7.1,0.58
"Antawn,Jamison",Mil,26,12,30.1,23,11.3,8.3,8.3,1
"Antawn,Jamison",Lal,24,60,35,338,18.7,11.8,7.7,0.45
"Al,Jefferson",Lal,23,40,10.3,12,4.4,0.8,4.7,0.1
"Amir,Johnson",Gol,25,47,15.5,9,1.7,3.7,3.2,0.49
"Anthony,Johnson",Cle,35,65,32.9,271,17.2,6.3,7.3,0.78
"Andrei,Kirilenko",Njn,26,62,26.2,104,12,2,4.4,0.74
"Acie,Law",Cle,36,51,24.9,56,7.2,2.7,5.8,0.75
"Antonio,McDyess",Min,22,34,15,84,7.4,3.6,6.7,0.38
"Andre,Miller",Min,26,51,17.1,55,4.1,3,4,0.35
"Anthony,Morrow",Tor,22,64,24.1,84,7.1,6.4,6.3,0.52
"Andres,Nocioni",Den,26,62,33.5,247,15.2,3.2,5.8,0.58
"Anthony,Parker",Det,23,41,14.5,43,4.7,2.2,5.6,0.54
"A.J.,Price",Bos,21,64,21.2,78,7.6,1.8,5,0.66
"Anthony,Randolph",Nyk,32,29,20.3,24,6.1,1.9,7.5,1.14
"Amare,Stoudemire",Det,28,52,26.7,136,12.5,2.3,6.1,0.65
"Al,Thornton",Det,37,62,15.6,47,1.4,4.3,4.1,0.76
"Al,Thornton",Tor,24,16,22.1,19,4.8,3.9,7.4,1
"Anthony,Tolliver",Mil,29,59,18.1,55,5.9,1.7,7.4,0.63
"Anderson,Varejao",Nyk,24,32,19.2,20,5.9,2.5,5.4,0.59
"Antoine,Wright",Cha,19,63,22.9,143,5.2,5.8,4,0.32
"Brandon,Bass",Lac,22,66,36.1,468,20.7,10.9,9.9,0.83
"Bobby,Brown",Lac,31,28,14.7,7,2.9,2,3.6,0.54
"Bobby,Brown",Cha,29,37,27.3,27,7.4,5.3,8.1,0.54
"Brian,Cardinal",San,29,20,20.1,8,4.7,4.3,7.3,0.7
"Baron,Davis",Bos,26,59,31.5,163,12.5,6.2,5.2,0.58
"Boris,Diaw",Mil,22,66,35.1,239,19.1,3.4,8.1,1.59
"Ben,Gordon",Det,20,66,32,137,12.8,3.2,6.7,0.74
