Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Arron,Afflalo",Den,25,69,33.5,163,12.6,3.6,5.7,0.49
"Andrea,Bargnani",Tor,22,24,10.8,15,4.8,2.5,5.7,0.33
"Andris,Biedrins",Lac,20,81,17.7,119,5.6,3.3,5.3,0.73
"Andray,Blatche",Tor,25,66,35.4,350,21.4,5.2,6.6,0.52
"Andrew,Bogut",Gol,24,59,23.5,31,5,7.2,5.6,0.88
"Aaron,Brooks",Was,24,64,33.7,283,16.8,8.2,8.1,1.53
"Andrew,Bynum",Mil,25,65,35.1,217,12.8,11.1,7.5,0.72
"Anthony,Carter",Hou,26,34,23.7,83,11.6,1.5,6.8,0.62
"Austin,Daye",Pho,26,25,18.7,57,9.6,1.1,7.6,0.52
"Alonzo,Gee",Lal,23,54,27.6,209,11.3,9.4,7.7,0.35
"Aaron,Gray",Den,35,14,10.7,2,1.9,0.9,5.5,0.64
"Al,Harrington",Nyk,35,19,16.2,6,4.4,2.1,6.8,0.95
"Al,Horford",Det,22,72,19.9,108,7.5,3.8,6.3,0.54
"Andre,Iguodala",Cle,23,40,24.2,80,7.4,3.9,4.7,0.83
"Allen,Iverson",Was,23,11,11.3,12,2.9,2,5,0.64
"Antawn,Jamison",Nor,25,41,12.5,34,3.1,4.2,5.5,0.27
"Antawn,Jamison",Den,30,73,22.6,117,10.5,4.5,7.2,0.53
"Al,Jefferson",Atl,24,77,34.9,188,15.3,9.3,9,0.75
"Amir,Johnson",Phi,27,67,36.6,300,14.1,5.8,8.8,1.51
"Anthony,Johnson",Cle,34,56,32.7,234,18,6.7,7.2,0.91
"Andrei,Kirilenko",Uta,26,82,35.5,289,18.6,9.7,7.7,0.56
"Acie,Law",Tor,23,72,25.5,160,9.6,6.4,6.4,0.74
"Antonio,McDyess",Uta,29,64,31.1,270,11.7,5.1,7.2,1.27
"Andre,Miller",Gol,25,40,15.6,54,5.1,1.3,5.9,0.7
"Anthony,Morrow",San,36,73,18.8,77,5.3,5.4,6.9,0.49
"Andres,Nocioni",Por,34,81,32.5,292,12.7,3.7,8.5,1.4
"Anthony,Parker",Njn,25,58,31.8,107,13.2,3,4.6,0.31
"A.J.,Price",Phi,31,54,17,61,6.1,3.1,5.8,0.26
"Anthony,Randolph",Cle,35,72,28.9,93,8.3,3,5.8,0.93
"Amare,Stoudemire",Ind,24,50,15.7,81,6.5,1.4,6.9,0.58
"Al,Thornton",Min,21,23,19.9,74,11.7,5.2,8.4,0.78
"Al,Thornton",Nyk,28,78,36.6,597,25.3,8.2,8.9,0.91
"Anthony,Tolliver",Gol,27,22,14.1,35,6,2.6,5.6,0.32
"Anderson,Varejao",Was,27,49,21.6,107,8,3.2,5.5,0.57
"Antoine,Wright",Min,25,65,20.8,131,6.7,4.5,6.4,0.45
"Brandon,Bass",Cle,28,31,31.9,81,9.1,9.7,6.4,0.87
"Bobby,Brown",Orl,25,76,25.9,233,11.2,5.6,5.7,0.36
"Bobby,Brown",Dal,33,56,10.9,18,2.6,1.1,4.6,0.43
"Brian,Cardinal",Lac,29,40,11,24,4.8,2.4,6.1,0.3
"Baron,Davis",Cle,31,15,25.2,27,13.9,2.4,9.3,1.07
"Boris,Diaw",Lac,31,43,29.3,104,12.8,2.8,8.6,1.44
"Ben,Gordon",Cha,28,82,33.7,123,11.3,5,7.3,0.9
"Brendan,Haywood",Det,27,82,25.8,160,11.2,2.4,5.9,0.59
"Brendan,Haywood",Lac,21,82,37.8,695,22.5,12.1,10.7,0.77
"Brandon,Jennings",Dal,31,72,18.3,177,4.4,5.2,4.2,0.22
"Brook,Lopez",Mil,21,63,34.2,246,16.2,3.7,7.7,1.51
"Brad,Miller",Njn,22,82,35,489,20.4,6,6.6,0.59
"Brandon,Roy",Hou,34,60,16.7,94,6.4,3.7,9.2,0.47
"Brandon,Rush",Por,26,47,27.7,138,12.2,2.6,6.4,0.79
"Brian,Scalabrine",Ind,25,67,26,106,9.1,3.2,4.6,0.61
"Bobby,Simmons",Sac,28,79,34.4,228,13.7,3.4,7.1,1.19
"Beno,Udrih",Njn,22,42,10.2,56,3.7,1.5,8.1,0.31
"Bill,Walker",Nyk,23,61,12.7,44,4.9,2,5.7,0.34
"Ben,Wallace",Det,36,54,22.8,57,2.9,6.5,5.1,1
"Chris,Andersen",Njn,23,16,11.3,17,3.6,3,5.8,0.5
"Carmelo,Anthony",Den,32,45,16.1,135,5.6,4.9,5.5,0.51
"Carlos,Arroyo",Den,26,50,35.3,417,25.2,7.6,9.2,0.86
"Chucky,Atkins",Nyk,26,27,36,188,26.3,6.7,9,0.93
"Charlie,Bell",Bos,31,15,12.5,12,2.4,1.5,5.9,0.47
"Chauncey,Billups",Mia,31,49,20.1,35,5.6,1.6,5.2,0.29
"Carlos,Boozer",Den,34,51,32.1,287,16.5,2.5,7.5,1.02
"Chris,Bosh",Nyk,34,21,31.4,132,17.5,3.1,8.5,0.9
"Corey,Brewer",Chi,29,59,31.7,244,17.5,9.6,9.4,0.76
"Chase,Budinger",Mia,26,77,36.1,471,18.7,8.3,7.4,0.77
"Caron,Butler",Dal,24,13,11.2,19,5.2,1.8,7.3,0.85
"Caron,Butler",Min,24,56,24.1,171,8.6,2.7,5.3,1.59
"Carlos,Delfino",Hou,22,78,22.1,138,9.8,3.6,6.9,0.53
"Chris,Douglas-Roberts",Dal,30,29,29.7,88,15,4,6.2,0.97
"Chris,Duhon",Mil,28,49,32.3,75,11.5,4.1,5.9,1.55
"Channing,Frye",Mil,23,44,19.9,89,7.3,2,5.1,0.66
"Chuck,Hayes",Orl,28,51,15,25,2.5,1,4.8,0.31
