Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Arron,Afflalo",Tor,23,7,8.5,8,2.7,2.1,0.57,0.43
"Andrea,Bargnani",Sac,23,56,13.9,45,2.7,3.6,0.34,0.41
"Andris,Biedrins",Okc,20,81,14.6,136,3.3,4.1,0.49,0.7
"Andray,Blatche",Cha,27,25,10.1,25,2.3,3.5,0.28,0.6
"Andrew,Bogut",Mil,27,28,25,94,10.9,7.8,0.61,0.75
"Aaron,Brooks",Orl,28,73,34.8,336,18.2,3.6,0.48,0.04
"Andrew,Bynum",Nor,25,56,16.8,67,5.9,4.9,0.41,0.82
"Anthony,Carter",Nyk,25,46,6.9,30,2,2.8,0.17,0.65
"Austin,Daye",Por,28,69,36,360,23.2,11.1,0.93,1
"Alonzo,Gee",Phi,24,51,18.7,40,5.2,5.4,0.43,0.53
"Aaron,Gray",Ind,24,14,7.8,10,2.9,2.4,0.14,0.43
"Al,Harrington",Mia,38,73,26.3,116,9.6,2.8,0.74,0.1
"Al,Horford",Mem,32,55,23.1,121,9,3.8,1.64,0.35
"Andre,Iguodala",Nor,23,80,25.4,137,7.2,6.2,1.03,0.46
"Allen,Iverson",Nor,31,18,10,24,2.1,3.1,0.5,0.61
"Antawn,Jamison",Mia,35,72,19.2,169,6.6,5.3,0.44,1.35
"Antawn,Jamison",Bro,31,78,22.6,118,7.2,2.2,0.62,0.14
"Al,Jefferson",Phi,24,80,28.6,106,10.1,3.8,0.93,0.35
"Amir,Johnson",Nor,25,22,35.9,62,19.8,6.4,0.45,0.32
"Anthony,Johnson",Mil,19,77,24.4,202,6.8,4.4,0.78,0.79
"Andrei,Kirilenko",Nyk,29,77,38.5,541,27.4,8.1,1.25,0.66
"Acie,Law",Bos,31,21,6.9,6,1,1.5,0.14,0.38
"Antonio,McDyess",Atl,31,50,18.3,66,7,4.2,0.38,0.24
"Andre,Miller",Was,28,77,35.1,193,14.4,6.2,1.64,0.26
"Anthony,Morrow",Gol,29,15,6.3,16,1.7,3.1,0.27,0.27
"Andres,Nocioni",Den,25,68,16.9,62,5.9,3.1,0.57,0.69
"Anthony,Parker",Hou,27,48,20,126,5.8,7.9,0.29,0.77
"A.J.,Price",Tor,26,10,8,6,2.1,0.4,0.1,0
"Anthony,Randolph",Chi,26,61,30.2,221,14.9,2.1,0.85,0.05
"Amare,Stoudemire",Atl,28,26,16.3,20,4.3,4.8,0.96,0.38
"Al,Thornton",San,26,73,12.9,55,3.3,3.5,0.18,0.34
"Al,Thornton",Bos,23,14,9.2,0,1.6,1.2,0.43,0
"Anthony,Tolliver",Nor,24,27,17.4,18,6.3,3.3,0.26,0.41
"Anderson,Varejao",Pho,31,20,18.1,39,7.5,1.9,0.35,0.2
"Antoine,Wright",Min,29,79,18.4,100,8.4,1.9,0.33,0
"Brandon,Bass",Nyk,28,42,29.7,102,13.3,5.3,0.33,1.21
"Bobby,Brown",Gol,21,78,28,181,9.5,4,0.83,0.26
"Bobby,Brown",Lac,33,63,27.3,90,9.9,4.6,0.89,0.44
"Brian,Cardinal",Por,23,41,9.2,32,4,1.8,0.22,0.17
"Baron,Davis",Bos,28,82,27.5,239,11.1,5.7,0.44,0.87
