Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Arron,Afflalo",Ind,32,65,13.7,40,5,1.1,0.38,0.14
"Andrea,Bargnani",Orl,21,80,28.7,217,12.7,5.1,0.81,0.5
"Andris,Biedrins",Min,25,18,7.5,19,3.5,1.8,0.44,0.39
"Andray,Blatche",Dal,24,22,7.4,20,2.2,1.7,0.05,0.59
"Andrew,Bogut",Bos,30,68,32.3,135,14,6.8,0.76,1.26
"Aaron,Brooks",Ind,32,66,14.1,85,8.1,4.2,0.29,0.24
"Andrew,Bynum",Lac,34,30,10.3,16,2.9,0.8,0.1,0
"Anthony,Carter",Pho,24,47,15.1,112,7.4,6.2,0.57,0.68
"Austin,Daye",Uta,25,42,15.6,78,6.7,2.9,0.43,0.12
"Alonzo,Gee",Okc,23,68,15.5,49,6,1.3,0.54,0.13
"Aaron,Gray",Pho,23,77,20.3,208,8,6.6,0.49,1.27
"Al,Harrington",Phi,23,6,26.1,10,10.7,4.7,0.5,0.17
"Al,Horford",Nor,28,39,15,40,5.3,4.5,0.51,0.56
"Andre,Iguodala",Por,26,61,29.1,136,8.7,7.4,1,0.72
"Allen,Iverson",Por,24,79,28.5,124,10.7,2.8,0.68,0.25
"Antawn,Jamison",Den,29,13,6.9,9,0.8,1.2,0.38,0.08
"Antawn,Jamison",Bos,29,80,20.1,100,6.5,4.6,0.64,0.78
"Al,Jefferson",Gol,34,14,6.6,11,1.3,1.9,0.21,0.21
"Amir,Johnson",Det,23,81,29.7,355,13.6,13.8,1.53,1.1
"Anthony,Johnson",Gol,33,76,26.3,102,7.6,4,1,0.51
"Andrei,Kirilenko",Okc,25,79,30.1,111,6.6,5.1,1.2,1.01
"Acie,Law",Dal,32,26,22.4,11,3,8.4,0.5,0.96
"Antonio,McDyess",Mem,22,72,20.5,194,5.9,1.9,0.74,0.29
"Andre,Miller",Was,27,28,8.3,12,2.5,1.2,0.39,0.21
"Anthony,Morrow",Bro,27,10,11.1,2,3,2.7,0.5,0
"Andres,Nocioni",Min,21,82,37.2,542,23.6,4,1,0.37
"Anthony,Parker",Bro,23,23,11.5,36,5,3.4,0.22,0.13
"A.J.,Price",Nor,24,9,15.8,0,3.8,2.9,0.56,0.11
"Anthony,Randolph",Orl,24,2,8.3,0,4.5,3.5,0,0
"Amare,Stoudemire",Nor,23,75,36.1,647,28,11.8,1.27,2.21
